OBJECTID,Country,Region,Subregion,Location,State_Region,Location_type,Project_name,Capacity_m3_d,Size_,Capacity_MGD,Capacity_MIGD,Units,Unit_size_m3_d,Unit_size_MGD_,Unit_size_MIGD_,Technical_notes,Technology,Thermal_design,Thermal_equipment,Membrane_supplier_RO_,Membrane_type_RO_,ERD_supplier,ERD_type,DAF_pretreatment_supplier,DAF_brand,MF_UF_Pretreatment_Supplier,MF_UF_brand,Other_pretreatment,Feedwater,Award_date,Online_date,Consultant,Consultant_2,Consultant_3,Customer_type,Industry,Customer,Plant_status,Plant_type,Plant_supplier,Plant_supplier_share,Plant_supplier_2,Plant_supplier_2_share,Plant_supplier_3,Plant_supplier_3_share,Plant_supplier_4,Plant_supplier_4_share,Plant_supplier_5,Plant_supplier_5_share,Procurement_model,Concession_period,Dev_consortium,Developer,Dev_share,Developer_2,Dev2_share,Developer_3,Dev3_share,Developer_4,Dev4_share,Developer_5,Dev5_share,Developer_6,Dev6_share,EPC_price,Water_price_USD_m3_,Last_update,Latitude,Longitude,Contact,Feedwater_Ph,Feedwater_salinity,Feedwater_temp_minimum,Feedwater_temp_maximum,Product_water_salinity,Product_water_temp,Civil_contractor_offshore_,Civil_contractor_onshore_,Consultant_1,Developer_codeveloper,Engineering_Consultancy,Environmental_advisor,EPC_contractor_desal_,EPC_contractor_pipeline_,EPC_contractor_power_,EPCM_contractor,Equipment_Supplier_Desal_uns_87,Equipment_supplier_Membranes_88,Equipment_Supplier_Chemical__89,Equipment_supplier_DAF_pretr_90,Equipment_Supplier_Energy_Re_91,Equipment_Supplier_Glass_Rei_92,Equipment_Supplier_High_Pres_93,Equipment_Supplier_Low_Press_94,Equipment_Supplier_Membranes_95,Equipment_Supplier_Membranes_96,Equipment_Supplier_Motors,Equipment_Supplier_Pipes_uns_98,Equipment_Supplier_Pressure__99,Equipment_Supplier_Pretreatm_100,Equipment_Supplier_Pumps_Bri_101,Equipment_Supplier_Pumps_Bri_102,Equipment_Supplier_Pumps_Hig_103,Equipment_Supplier_Pumps_Not_104,Equipment_Supplier_Steel,Equipment_Supplier_Valves,Financial_advisor,Government_agency,Holding_Company,Insurance_adviser,Legal_advisor,Lender,Lender_engineer,O_M_contractor,Off_taker,Owner___Client,Owners_engineer,Prime_contractor,Project_Company,Sponsor,Subcontractor,Technical_advisor,Technology_provider,Winner,Short_listed1,Short_listed2,Short_listed3,Short_listed4,Short_listed5,Bid_submitted1,Bid_submitted2,Bid_submitted3,Bid_submitted4,Bid_submitted5,Pre_qualified1,Pre_qualified2,Pre_qualified3,Pre_qualified4,Pre_qualified5,Statement_of_qualification1,Statement_of_qualification2,Statement_of_qualification3,Statement_of_qualification4,Statement_of_qualification5,RO_System,RO_Configuration,RO_Feed_Pump_Drive,RO_Control_Type,RO_Energy_Recovery,RO_Electrical_Power_Consumpt_150,RO_Membrane_Type,RO_Pre_Treament_1st_Stage,RO_NPS_Or_MWCO,RO_Pre_Treament_2nd_Stage,RO_Pre_Treament_3rd_Stage,RO_Pre_Treament_4th_Stage,RO_Pre_Treament_5th_Stage,RO_Passivation,RO_Disinfection,RO_Dosed_Chemical_1st_Stage,MED_Design,MED_System,MED_Equipment,MED_Type,MED_Geometry,MED_Configuration,MED_Power_Consumption,MED_Gain_Output_Ratio,MSF_Design,MSF_System,MSF_Equipment,MSF_Type,MSF_Geometry,MSF_Configuration,MSF_Heat_Recovery_Stages,MSF_Heat_Rejection_Stages,MSF_Gain_Output_Ratio
826,U.S.A.,Americas,North America,Leesburg,Virginia,Land based,Stonewall Energy,"2,736",M,0.720000000000000,0.600000000000000,,,,,"Vertical Tube Evaporator (VTE). Zero liquid discharge on cooling tower blowdown includes a falling film brine concentrator, a forced circulation crystaliser and a belt filter press.",VC (Vapour Compression),,,,,,,,,,,,Wastewater,2015,2016,,,,Industry (TDS <10ppm),Power,,Online,,Aquatech International Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-03 11:11:06 UTC,39.115661500000002,-77.563601500000004,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,U.S.A.,Americas,North America,Mooresboro,North Carolina,Land based,"Zinc Recycling Plant, Mooresboro","2,736",M,0.720000000000000,0.600000000000000,1,2736.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2013,2013,,,,Industry (TDS <10ppm),Mining,Horsehead Corporation,Online,,Aquatech International Corporation,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-13 08:46:00 UTC,35.298736200000000,-81.698986300000001,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatech International Corporation,,,,,,,Horsehead Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,U.S.A.,Americas,North America,Monticello,Indiana,Land based,Monticello,"2,730",M,0.720000000000000,0.600000000000000,1,2730.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Wastewater,1980,1982,,,,Power stations (TDS <10ppm),Power,TEXAS UTILITY,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"3,720,000 USD",,2014-04-03 15:30:03 UTC,40.745316899999999,-86.764734300000001,,,,,,,,,,,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,TEXAS UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
830,U.S.A.,Americas,North America,,Connecticut,Land based,Connecticut,"2,726",M,0.720000000000000,0.600000000000000,,,,,,RO (Reverse Osmosis),,,GE Water & Process Technologies ,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2015,2015,,,,Industry (TDS <10ppm),Food & Beverage,,Online,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-13 14:15:43 UTC,41.603220700000001,-73.087749000000002,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,U.S.A.,Americas,North America,Lake Charles,Louisiana,Land based,Lake Charles,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1998,1998,,,,Industry (TDS <10ppm),,,Online,Stand-alone,Water & Power,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,080,000 USD",,2012-06-27 03:32:16 UTC,30.226594899999998,-93.217375899999993,,,,,,,,,,,,,,Water & Power,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Water & Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
837,U.S.A.,Americas,North America,Dallas,Texas,Land based,Dallas,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1988,1988,,,,Industry (TDS <10ppm),Electronics,TEXAS INSTRUMENTS,Presumed Online,Stand-alone,Arocon,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,600,000 USD",,2014-04-03 15:30:02 UTC,32.783055599999997,-96.806666699999994,,,,,,,,,,,,,,Arocon,,,,,,,,,,,,,,,,,,,,,,,,,,Arocon,,,,,,,TEXAS INSTRUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,U.S.A.,Americas,North America,Hayward,California,Land based,Hayward,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1995,1996,,,,Industry (TDS <10ppm),Food & Beverage,"PepsiCo, Inc",Online,Stand-alone,Water & Power,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,600,000 USD",,2014-04-03 15:29:55 UTC,37.668820500000002,-122.080796399999997,,,,,,,,,,,,,,Water & Power,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Water & Power,,,,,,,"PepsiCo, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,U.S.A.,Americas,North America,Hayward,California,Land based,Hayward,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1995,1995,,,,Industry (TDS <10ppm),Food & Beverage,"PepsiCo, Inc",Presumed Online,Stand-alone,Water & Power,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,080,000 USD",,2014-04-03 15:29:55 UTC,37.668820500000002,-122.080796399999997,,,,,,,,,,,,,,Water & Power,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Water & Power,,,,,,,"PepsiCo, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
840,U.S.A.,Americas,North America,Camden,South Carolina,Land based,Camden,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2002,2002,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,County,Online,Stand-alone,Harn R/O Systems Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,600,000 USD",,2012-06-27 03:32:19 UTC,33.584558199999996,-92.834329400000001,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,U.S.A.,Americas,North America,Camden,South Carolina,Land based,Camden County WTP,"2,725",M,0.720000000000000,0.600000000000000,,,,,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2010,2011,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Harn R/O Systems Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2018-08-20 14:17:12 UTC,33.584558199999996,-92.834329400000001,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,Harn R/O Systems Inc.,Hydranautics,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
844,U.S.A.,Americas,North America,Albuquerque,New Mexico,Land based,Albuquerque,"2,725",M,0.720000000000000,0.600000000000000,1,2725.000000000000000,0.720000000000000,0.600000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1981,,,,Industry (TDS <10ppm),Electronics,Intel Corporation,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,600,000 USD",,2014-04-03 15:29:59 UTC,35.084490899999999,-106.651136699999995,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,U.S.A.,Americas,North America,Cayo Costa,Florida,Land based,Cayo Costa,"2,724",M,0.720000000000000,0.600000000000000,4,681.000000000000000,0.180000000000000,0.150000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1976,1978,,,,Power stations (TDS <10ppm),Power,Pacific Gas and Electric Company,Presumed Offline,Stand-alone,Graver Water Systems,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,790,000 USD",,2014-04-03 15:29:57 UTC,26.618963600000001,-82.225650400000006,,,,,,,,,,,,,,Graver Water,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Graver Water Systems,,,,,,,Pacific Gas and Electric Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
848,U.S.A.,Americas,North America,Rhode Island,Rhode Island,Land based,Pepsi Bottling Plant - Newport,"2,700",M,0.710000000000000,0.590000000000000,,,,,,Other / Unknown,,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2006,2006,,,,Industry (TDS <10ppm),Food & Beverage,,Online,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-12-22 09:32:58 UTC,41.750278000000002,-71.499722000000006,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,U.S.A.,Americas,North America,Orem,Utah,Land based,Orem,"2,695",M,0.710000000000000,0.590000000000000,1,2695.000000000000000,0.710000000000000,0.590000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1978,1980,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,580,000 USD",,2012-06-27 03:32:33 UTC,40.296897899999998,-111.694647500000002,,,,,,,,,,,,,,Aqua Media,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,U.S.A.,Americas,North America,Springerville,Arizona,Land based,Springerville,"2,665",M,0.700000000000000,0.590000000000000,4,666.250000000000000,0.180000000000000,0.150000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1978,1980,,,,Power stations (TDS <10ppm),Power,Tucson Electric Power,Presumed Offline,Stand-alone,Graver Water Systems,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,730,000 USD",,2014-04-03 15:29:54 UTC,34.133379900000001,-109.285919600000000,,,,,,,,,,,,,,Graver Water,,,,,,,,,,,,,,,,,,,,,,,,,,Graver Water Systems,,,,,,,Tucson Electric Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
852,U.S.A.,Americas,North America,Carlsbad,California,Land based,Carlsbad,"2,650",M,0.700000000000000,0.580000000000000,1,2650.000000000000000,0.700000000000000,0.580000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Wastewater,2002,2003,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Town of Carlsbad,Online,Stand-alone,American Engineering Services,50,Doosan,50,,,,,,,EPC,,,,,,,,,,,,,,,"3,620,000 USD",,2016-01-27 09:36:55 UTC,33.158093299999997,-117.350593900000007,,,,,,,,,,,,,,"American Engineering Services / Doosan Hydro Technology, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,Town of Carlsbad,,,,,,Black & Veatch,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
853,U.S.A.,Americas,North America,Columbus,Ohio,Land based,Columbus,"2,650",M,0.700000000000000,0.580000000000000,1,2650.000000000000000,0.700000000000000,0.580000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1997,1998,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Utility Co,Online,Stand-alone,American Engineering Services,50,Doosan,50,,,,,,,EPC,,,,,,,,,,,,,,,"2,540,000 USD",,2012-06-27 03:32:23 UTC,39.961175500000003,-82.998794200000006,,,,,,,,,,,,,,"American Engineering Services / Doosan Hydro Technology, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,Utility Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,U.S.A.,Americas,North America,Gulf Guinea,Massachusetts,Land based,USA - Gulf Guinea,"2,650",M,0.700000000000000,0.580000000000000,1,2650.000000000000000,0.700000000000000,0.580000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2001,2002,,,,Industry (TDS <10ppm),,,Online,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"6,520,000 USD",,2017-12-22 09:33:14 UTC,42.480556000000000,-72.732777999999996,,,,,,,,,,,,,,Siemens Water Technologies,,,,,DuPont,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
855,U.S.A.,Americas,North America,Port Isabel,Texas,Land based,"Port Isabel WRP, TX","2,650",M,0.700000000000000,0.580000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Wastewater,,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),General,,Planned,,,,,,,,,,,,DB,,,,,,,,,,,,,,,"13,613,000 USD",,2016-05-27 13:38:25 UTC,26.073411900000000,-97.208584400000007,Charles Ortiz (district engineer). Tel: +1 956 943 2626.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,U.S.A.,Americas,North America,Fort Pierce,Florida,Land based,Spanish Lakes,"2,650",M,0.700000000000000,0.580000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2004,2004,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Wynne Development Corp. ,Online,Stand-alone,Layne Christensen Company,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"336,000 USD",,2017-12-22 09:33:32 UTC,27.446705600000001,-80.325605600000003,,,,,,0,,,,,,,,Layne Christensen Company,,,,,,,,,,,,,,,,,,,,,,,,,,Layne Christensen Company,,,,,,,Wynne Development Corp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,U.S.A.,Americas,North America,Midland,Texas,Land based,Ranchland Hills Golf Club,"2,650",M,0.700000000000000,0.580000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2012,2013,,,,Irrigation (TDS <1000ppm),,Ranchland Hills Golf Club,Online,,STW Resources Holding Corp.,50,"Bob J. Johnson & Associates, Inc.",50,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-13 11:26:11 UTC,32.034098100000001,-102.063576800000007,,,,,,,,,,,,,,"STW Resources Holding Corp. / Bob J. Johnson & Associates, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,Ranchland Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,U.S.A.,Americas,North America,Orange Tree,Florida,Land based,Orange Tree,"2,650",M,0.700000000000000,0.580000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2005,2005,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Orange Tree,Online,Stand-alone,Layne Christensen Company,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"264,000 USD",,2016-01-27 09:37:57 UTC,28.555555999999999,-81.589721999999995,,,,,,,,,,,,,,Layne Christensen Company,,,,,,,,,,,,,,,,,,,,,,,,,,Layne Christensen Company,,,,,,,City of Orange Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,U.S.A.,Americas,North America,Tatum,Texas,Land based,Totum,"2,649",M,0.700000000000000,0.580000000000000,3,883.000000000000000,0.230000000000000,0.190000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1981,,,,Power stations (TDS <10ppm),Power,TEXAS UTILITY,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,700,000 USD",,2014-04-03 15:30:03 UTC,32.315989399999999,-94.516591300000002,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,TEXAS UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,U.S.A.,Americas,North America,,Pennsylvania,,Pennsylvania,"2,640",M,0.700000000000000,0.580000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2016,,,,,Industry (TDS <10ppm),Food & Beverage,,Construction,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-28 14:29:49 UTC,41.203321600000002,-77.194524700000002,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,U.S.A.,Americas,North America,Geismar,Louisiana,Land based,Geismar,"2,616",M,0.690000000000000,0.580000000000000,1,2616.000000000000000,0.690000000000000,0.580000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1994,1994,,,,Industry (TDS <10ppm),,,Presumed Online,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,010,000 USD",,2012-06-27 03:32:16 UTC,30.204363300000001,-91.022601300000005,,,,,,,,,,,,,,Siemens Water Technologies,,,,,DuPont,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
862,U.S.A.,Americas,North America,Santa Clara,California,Land based,Santa Clara,"2,615",M,0.690000000000000,0.580000000000000,1,2615.000000000000000,0.690000000000000,0.580000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1977,1979,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,510,000 USD",,2012-06-27 03:32:03 UTC,37.354107999999997,-121.955235599999995,,,,,,,,,,,,,,Aqua Media,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,U.S.A.,Americas,North America,El Cajon,California,Land based,El Cajon,"2,589",M,0.680000000000000,0.570000000000000,,,,,,ED (Electrodialysis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2012,2013,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-11 11:47:48 UTC,32.794773100000000,-116.962526900000000,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,U.S.A.,Americas,North America,Phoenix,Arizona,Land based,Phoenix,"2,589",M,0.680000000000000,0.570000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2012,2013,,,,Industry (TDS <10ppm),Food & Beverage,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-04-03 15:30:45 UTC,33.448377100000002,-112.074037300000001,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,U.S.A.,Americas,North America,Tama,Iowa,Land based,Poweshiek Water Association R/O Plant,"2,558",M,0.680000000000000,0.560000000000000,2,1279.000000000000000,0.340000000000000,0.280000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2007,2008,Bartlett & West,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Harn R/O Systems Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2018-08-20 14:05:47 UTC,41.966658500000001,-92.576859099999993,,,,,,,,,,Bartlett & West,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
867,U.S.A.,Americas,North America,San Jose,California,Land based,San Jose,"2,552",M,0.670000000000000,0.560000000000000,1,2552.000000000000000,0.670000000000000,0.560000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1981,1982,,,,Industry (TDS <10ppm),Electronics,IBM Corporation,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"2,450,000 USD",,2014-04-03 15:29:56 UTC,37.339385700000001,-121.894955499999995,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,IBM Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
